1 20.9 55.89 82.19
1 21.0 55.70 82.12
1 21.1 55.51 82.05
1 21.2 55.33 81.97
1 21.3 55.15 81.89
1 21.4 54.97 81.80
1 21.5 54.79 81.71
1 21.6 54.61 81.62
1 21.7 54.43 81.53
1 21.8 54.26 81.43
1 21.9 54.08 81.33
1 22.0 53.91 81.23
1 22.1 53.74 81.12
1 22.2 53.58 81.01
1 22.3 53.41 80.90
1 22.4 53.25 80.79
1 22.5 53.08 80.67
1 22.6 52.92 80.55
1 22.7 52.77 80.43
1 22.8 52.61 80.30
1 22.9 52.46 80.17
1 23.0 52.31 80.04
1 23.1 52.16 79.91
1 23.2 52.01 79.77
1 23.3 51.87 79.63
1 23.4 51.73 79.49
1 23.5 51.59 79.35
1 23.6 51.45 79.20
1 23.7 51.32 79.05
1 23.8 51.19 78.90
1 23.9 51.06 78.75
1 24.0 50.93 78.59
1 24.1 50.81 78.43
1 24.2 50.69 78.28
1 24.3 50.57 78.11
1 24.4 50.46 77.95
1 24.5 50.34 77.78
1 24.6 50.24 77.62
1 24.7 50.13 77.45
1 24.8 50.03 77.27
1 24.9 49.93 77.10
1 25.0 49.83 76.93
1 25.1 49.74 76.75
1 25.2 49.64 76.57
1 25.3 49.56 76.39
1 25.4 49.47 76.21
1 25.5 49.39 76.03
1 25.6 49.31 75.84
1 25.7 49.24 75.66
1 25.8 49.17 75.47
1 25.9 49.10 75.28
1 26.0 49.03 75.09
1 26.1 48.97 74.90
1 26.2 48.91 74.71
1 26.3 48.86 74.52
1 26.4 48.81 74.33
1 26.5 48.76 74.13
1 26.6 48.71 73.94
1 26.7 48.67 73.74
1 26.8 48.63 73.55
1 26.9 48.60 73.35
1 27.0 48.57 73.15
1 27.1 48.54 72.95
1 27.2 48.51 72.76
1 27.3 48.49 72.56
1 27.4 48.48 72.36
1 27.5 48.46 72.16
1 27.6 48.45 71.96
1 27.7 48.44 71.76
1 27.8 48.44 71.56
1 27.9 48.44 71.36
1 28.0 48.44 71.16
1 28.1 48.45 70.96
1 28.2 48.46 70.76
1 28.3 48.48 70.56
1 28.4 48.49 70.36
1 28.5 48.51 70.16
1 28.6 48.54 69.96
1 28.7 48.57 69.77
1 28.8 48.60 69.57
1 28.9 48.63 69.37
1 29.0 48.67 69.17
1 29.1 48.71 68.98
1 29.2 48.76 68.78
1 29.3 48.81 68.59
1 29.4 48.86 68.40
1 29.5 48.91 68.20
1 29.6 48.97 68.01
