pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
vel: 5.32 (0.026167978121478086, 0.4993147673772853)
1 5.36 88 87
vel: 5.36 (0.017449748351253902, 0.49969541350954216)
1 5.42 88 88
vel: 5.42 (0.008726203218643036, 0.4999238475782022)
1 5.46 88 88
vel: 5.46 (0.0, 0.5)
1 5.52 88 89
vel: 5.52 (-0.008726203218643036, 0.4999238475782022)
1 5.56 88 89
vel: 5.56 (-0.017449748351253902, 0.49969541350954216)
1 5.62 88 90
vel: 5.62 (-0.026167978121478086, 0.4993147673772853)
1 5.66 88 90
vel: 5.66 (-0.0348782368720606, 0.49878202512991265)
1 5.72 88 91
vel: 5.72 (-0.04357787137382729, 0.498097349045878)
1 5.76 88 91
vel: 5.76 (-0.05226423163382776, 0.49726094768413986)
1 5.82 88 92
vel: 5.82 (-0.06093467170256872, 0.4962730758206675)
1 5.86 88 92
vel: 5.86 (-0.06958655048003948, 0.4951340343707784)
1 5.92 88 93
vel: 5.92 (-0.07821723252011736, 0.4938441702975638)
1 5.96 87 93
vel: 5.96 (-0.08682408883346682, 0.49240387650610273)
1 6.02 87 94
vel: 6.02 (-0.09540449768827841, 0.49081359172383543)
1 6.05 87 94
vel: 6.05 (-0.10395584540887626, 0.48907380036689574)
1 6.12 87 95
vel: 6.12 (-0.11247552717193798, 0.4871850323926168)
1 6.15 87 95
vel: 6.15 (-0.12096094779982991, 0.4851478631379962)
1 6.22 87 96
vel: 6.22 (-0.12940952255125637, 0.482962913144533)
1 6.25 87 96
vel: 6.25 (-0.13781867790849844, 0.48063084796916655)
1 6.32 87 97
vel: 6.32 (-0.14618585236136994, 0.478152377981516)
1 6.35 86 97
vel: 6.35 (-0.1545084971874786, 0.4755282581475768)
1 6.42 86 98
vel: 6.42 (-0.16278407722857935, 0.47275928779966137)
1 6.45 86 98
vel: 6.45 (-0.17101007166283466, 0.46984631039295266)
1 6.52 86 99
vel: 6.52 (-0.17918397477265557, 0.4667902132486006)
1 6.55 86 99
vel: 6.55 (-0.18730329670795243, 0.4635919272833888)
1 6.62 86 100
vel: 6.62 (-0.19536556424463924, 0.460252426726214)
1 6.68 85 100
vel: 6.68 (-0.2033683215378943, 0.4567727288213064)
1 6.72 85 100
vel: 6.72 (-0.21130913087034742, 0.45315389351831925)
1 6.78 85 101
vel: 6.78 (-0.21918557339454026, 0.4493970231495865)
1 6.82 85 101
vel: 6.82 (-0.22699524986977337, 0.4455032620941779)
1 6.88 84 102
vel: 6.88 (-0.23473578139294204, 0.44147379642946305)
1 6.92 84 102
vel: 6.92 (-0.24240481012316195, 0.4373098535697011)
1 6.98 84 103
vel: 6.98 (-0.25, 0.4330127018922241)
1 7.01 84 103
vel: 7.01 (-0.257519037455026, 0.42858365035105805)
1 7.08 83 104
vel: 7.08 (-0.2649596321166001, 0.42402404807820915)
1 7.11 83 104
vel: 7.11 (-0.27231951750751193, 0.419335283972714)
1 7.18 83 104
vel: 7.18 (-0.2795964517353724, 0.4145187862775259)
1 7.21 83 105
vel: 7.21 (-0.28678821817551636, 0.40957602214449196)
1 7.28 82 105
vel: 7.28 (-0.29389262614623135, 0.4045084971874786)
1 7.31 82 106
vel: 7.31 (-0.30090751157602824, 0.3993177550236453)
1 7.38 82 106
vel: 7.38 (-0.307830737662826, 0.39400537680336356)
1 7.41 81 106
vel: 7.41 (-0.3146601955249224, 0.38857298072848323)
1 7.48 81 107
vel: 7.48 (-0.32139380484326807, 0.38302222155948584)
1 7.51 81 107
vel: 7.51 (-0.3280295144952561, 0.37735479011138295)
1 7.58 80 108
vel: 7.58 (-0.33456530317943134, 0.37157241273870056)
1 7.61 80 108
vel: 7.61 (-0.34099918003124685, 0.3656768508095922)
1 7.68 80 108
vel: 7.68 (-0.34732918522949774, 0.35966990016932243)
1 7.71 79 109
vel: 7.71 (-0.3535533905932766, 0.3535533905932766)
1 7.78 79 109
vel: 7.78 (-0.35966990016932243, 0.34732918522949774)
1 7.81 79 109
vel: 7.81 (-0.3656768508095922, 0.34099918003124685)
1 7.88 78 110
vel: 7.88 (-0.37157241273870056, 0.33456530317943134)
1 7.91 78 110
vel: 7.91 (-0.37735479011138295, 0.3280295144952561)
1 7.98 77 110
vel: 7.98 (-0.38302222155948584, 0.32139380484326807)
1 8.01 77 111
vel: 8.01 (-0.38857298072848323, 0.3146601955249224)
1 8.07 77 111
vel: 8.07 (-0.39400537680336356, 0.307830737662826)
1 8.11 76 111
vel: 8.11 (-0.3993177550236453, 0.30090751157602824)
1 8.17 76 111
vel: 8.17 (-0.4045084971874786, 0.29389262614623135)
1 8.21 75 112
vel: 8.21 (-0.40957602214449196, 0.28678821817551636)
1 8.27 75 112
vel: 8.27 (-0.4145187862775259, 0.2795964517353724)
1 8.31 75 112
vel: 8.31 (-0.419335283972714, 0.27231951750751193)
1 8.37 74 113
vel: 8.37 (-0.42402404807820915, 0.2649596321166001)
1 8.41 74 113
vel: 8.41 (-0.42858365035105805, 0.257519037455026)
1 8.47 73 113
vel: 8.47 (-0.4330127018922241, 0.25)
1 8.51 73 113
vel: 8.51 (-0.4373098535697011, 0.24240481012316195)
1 8.57 72 114
vel: 8.57 (-0.44147379642946305, 0.23473578139294204)
1 8.61 72 114
vel: 8.61 (-0.4455032620941779, 0.22699524986977337)
1 8.67 72 114
vel: 8.67 (-0.4493970231495865, 0.21918557339454026)
1 8.71 71 114
vel: 8.71 (-0.45315389351831925, 0.21130913087034742)
1 8.77 71 114
vel: 8.77 (-0.4567727288213064, 0.2033683215378943)
1 8.80 70 115
vel: 8.80 (-0.460252426726214, 0.19536556424463924)
1 8.87 70 115
vel: 8.87 (-0.4635919272833888, 0.18730329670795243)
1 8.90 69 115
vel: 8.90 (-0.4667902132486006, 0.17918397477265557)
1 8.97 69 115
vel: 8.97 (-0.46984631039295266, 0.17101007166283466)
1 9.00 68 115
vel: 9.00 (-0.47275928779966137, 0.16278407722857935)
1 9.07 68 115
vel: 9.07 (-0.4755282581475768, 0.1545084971874786)
1 9.10 67 116
vel: 9.10 (-0.478152377981516, 0.14618585236136994)
1 9.17 67 116
vel: 9.17 (-0.48063084796916655, 0.13781867790849844)
1 9.20 66 116
vel: 9.20 (-0.482962913144533, 0.12940952255125637)
1 9.27 66 116
vel: 9.27 (-0.4851478631379962, 0.12096094779982991)
1 9.30 65 116
vel: 9.30 (-0.4871850323926168, 0.11247552717193798)
1 9.37 65 116
vel: 9.37 (-0.48907380036689574, 0.10395584540887626)
1 9.40 64 116
vel: 9.40 (-0.49081359172383543, 0.09540449768827841)
1 9.47 64 116
vel: 9.47 (-0.49240387650610273, 0.08682408883346682)
1 9.53 63 116
vel: 9.53 (-0.4938441702975709, 0.07821723252011736)
1 9.57 63 117
vel: 9.57 (-0.4951340343707855, 0.06958655048003948)
1 9.63 62 117
vel: 9.63 (-0.4962730758206604, 0.06093467170256872)
1 9.67 62 117
vel: 9.67 (-0.49726094768413986, 0.05226423163382776)
1 9.73 61 117
vel: 9.73 (-0.4980973490458709, 0.04357787137382729)
1 9.77 61 117
vel: 9.77 (-0.49878202512991265, 0.0348782368720606)
1 9.83 60 117
vel: 9.83 (-0.4993147673772853, 0.026167978121478086)
1 9.87 60 117
vel: 9.87 (-0.49969541350954927, 0.017449748351253902)
1 9.93 60 117
vel: 9.93 (-0.4999238475781951, 0.008726203218643036)
1 9.96 59 117
vel: 9.96 (-0.5, 0.0)
1 10.03 59 117
vel: 10.03 (-0.4999238475781951, -0.008726203218643036)
1 10.06 58 117
vel: 10.06 (-0.49969541350954927, -0.017449748351253902)
1 10.13 58 117
vel: 10.13 (-0.4993147673772853, -0.026167978121478086)
1 10.16 57 117
vel: 10.16 (-0.49878202512991265, -0.0348782368720606)
1 10.23 57 117
vel: 10.23 (-0.4980973490458709, -0.04357787137382729)
1 10.27 56 117
vel: 10.27 (-0.49726094768413986, -0.05226423163382776)
1 10.33 56 117
vel: 10.33 (-0.4962730758206604, -0.06093467170256872)
1 10.37 55 116
vel: 10.37 (-0.4951340343707855, -0.06958655048003948)
1 10.43 55 116
vel: 10.43 (-0.4938441702975709, -0.07821723252011736)
1 10.46 54 116
vel: 10.46 (-0.49240387650610273, -0.08682408883346682)
1 10.53 54 116
vel: 10.53 (-0.49081359172383543, -0.09540449768827841)
1 10.56 53 116
vel: 10.56 (-0.48907380036690284, -0.10395584540887626)
1 10.63 53 116
vel: 10.63 (-0.4871850323926168, -0.11247552717193798)
1 10.66 52 116
vel: 10.66 (-0.4851478631379962, -0.12096094779982991)
1 10.73 52 116
vel: 10.73 (-0.482962913144533, -0.12940952255125637)
1 10.76 51 116
vel: 10.76 (-0.48063084796915945, -0.13781867790849844)
1 10.83 51 115
vel: 10.83 (-0.478152377981516, -0.14618585236136994)
1 10.86 50 115
vel: 10.86 (-0.4755282581475768, -0.1545084971874786)
1 10.93 50 115
vel: 10.93 (-0.47275928779966137, -0.16278407722857935)
1 10.96 49 115
vel: 10.96 (-0.46984631039295266, -0.17101007166283466)
1 11.03 49 115
vel: 11.03 (-0.4667902132486006, -0.17918397477265557)
1 11.06 48 115
vel: 11.06 (-0.46359192728339593, -0.18730329670795243)
1 11.13 48 114
vel: 11.13 (-0.46025242672622113, -0.19536556424463924)
1 11.16 47 114
vel: 11.16 (-0.45677272882129927, -0.2033683215378943)
1 11.23 47 114
vel: 11.23 (-0.45315389351832636, -0.21130913087034742)
1 11.26 46 114
vel: 11.26 (-0.4493970231495865, -0.21918557339454026)
1 11.32 46 114
vel: 11.32 (-0.445503262094185, -0.22699524986977337)
1 11.36 46 113
vel: 11.36 (-0.44147379642946305, -0.23473578139294204)
1 11.43 45 113
vel: 11.43 (-0.4373098535697011, -0.24240481012316195)
1 11.46 45 113
vel: 11.46 (-0.43301270189221697, -0.25)
1 11.53 44 113
vel: 11.53 (-0.42858365035105805, -0.257519037455026)
1 11.56 44 112
vel: 11.56 (-0.42402404807821625, -0.2649596321166001)
1 11.62 43 112
vel: 11.62 (-0.419335283972714, -0.27231951750751193)
1 11.66 43 112
vel: 11.66 (-0.4145187862775188, -0.2795964517353724)
1 11.72 43 111
vel: 11.72 (-0.40957602214449906, -0.28678821817551636)
1 11.76 42 111
vel: 11.76 (-0.4045084971874715, -0.29389262614623135)
1 11.82 42 111
vel: 11.82 (-0.3993177550236453, -0.30090751157602824)
1 11.86 41 111
vel: 11.86 (-0.39400537680336356, -0.307830737662826)
1 11.92 41 110
vel: 11.92 (-0.38857298072848323, -0.3146601955249224)
1 11.96 41 110
vel: 11.96 (-0.38302222155948584, -0.32139380484326807)
1 12.02 40 110
vel: 12.02 (-0.37735479011138295, -0.3280295144952561)
1 12.05 40 109
vel: 12.05 (-0.37157241273870056, -0.33456530317943134)
1 12.12 40 109
vel: 12.12 (-0.3656768508095851, -0.34099918003124685)
1 12.15 39 109
vel: 12.15 (-0.35966990016932243, -0.34732918522949774)
1 12.22 39 108
vel: 12.22 (-0.3535533905932766, -0.3535533905932766)
1 12.25 38 108
vel: 12.25 (-0.34732918522949774, -0.35966990016932243)
1 12.32 38 108
vel: 12.32 (-0.34099918003124685, -0.3656768508095922)
1 12.35 38 107
vel: 12.35 (-0.33456530317943134, -0.37157241273870056)
1 12.42 37 107
vel: 12.42 (-0.3280295144952561, -0.37735479011138295)
1 12.45 37 106
vel: 12.45 (-0.32139380484326807, -0.38302222155948584)
1 12.52 37 106
vel: 12.52 (-0.3146601955249224, -0.38857298072848323)
1 12.55 37 106
vel: 12.55 (-0.307830737662826, -0.39400537680336356)
1 12.62 36 105
vel: 12.62 (-0.30090751157602114, -0.3993177550236453)
1 12.65 36 105
vel: 12.65 (-0.29389262614623846, -0.4045084971874786)
1 12.72 36 104
vel: 12.72 (-0.28678821817552347, -0.40957602214449196)
1 12.78 35 104
vel: 12.78 (-0.2795964517353724, -0.4145187862775259)
1 12.82 35 104
vel: 12.82 (-0.27231951750751193, -0.419335283972714)
1 12.88 35 103
vel: 12.88 (-0.2649596321166001, -0.42402404807820915)
1 12.92 35 103
vel: 12.92 (-0.257519037455026, -0.42858365035105805)
1 12.98 34 102
vel: 12.98 (-0.25, -0.4330127018922241)
1 13.02 34 102
vel: 13.02 (-0.24240481012316906, -0.4373098535697011)
1 13.08 34 101
vel: 13.08 (-0.23473578139294204, -0.44147379642946305)
1 13.11 34 101
vel: 13.11 (-0.22699524986977337, -0.4455032620941779)
1 13.18 33 100
vel: 13.18 (-0.21918557339454026, -0.4493970231495865)
1 13.21 33 100
vel: 13.21 (-0.21130913087034742, -0.45315389351831925)
1 13.28 33 100
vel: 13.28 (-0.2033683215379014, -0.4567727288213064)
1 13.31 33 99
vel: 13.31 (-0.19536556424463924, -0.460252426726214)
1 13.38 33 99
vel: 13.38 (-0.18730329670795953, -0.4635919272833888)
1 13.41 32 98
vel: 13.41 (-0.17918397477264847, -0.4667902132486006)
1 13.48 32 98
vel: 13.48 (-0.17101007166283466, -0.46984631039295266)
1 13.51 32 97
vel: 13.51 (-0.16278407722857935, -0.47275928779966137)
1 13.58 32 97
vel: 13.58 (-0.1545084971874715, -0.4755282581475768)
1 13.61 32 96
vel: 13.61 (-0.14618585236136994, -0.478152377981516)
1 13.68 32 96
vel: 13.68 (-0.13781867790849844, -0.48063084796916655)
1 13.71 32 95
vel: 13.71 (-0.12940952255126348, -0.482962913144533)
1 13.78 31 95
vel: 13.78 (-0.12096094779983346, -0.4851478631379962)
1 13.81 31 94
vel: 13.81 (-0.11247552717193088, -0.4871850323926168)
1 13.88 31 94
vel: 13.88 (-0.10395584540887981, -0.48907380036689574)
1 13.91 31 93
vel: 13.91 (-0.0954044976882713, -0.49081359172383543)
1 13.97 31 93
vel: 13.97 (-0.08682408883346682, -0.49240387650610273)
1 14.01 31 92
vel: 14.01 (-0.07821723252011381, -0.4938441702975638)
1 14.07 31 92
vel: 14.07 (-0.06958655048003237, -0.4951340343707784)
1 14.11 31 91
vel: 14.11 (-0.060934671702572274, -0.4962730758206675)
1 14.18 31 91
vel: 14.18 (-0.05226423163382776, -0.49726094768413986)
1 14.21 31 90
vel: 14.21 (-0.043577871373830845, -0.498097349045878)
1 14.27 31 90
vel: 14.27 (-0.03487823687206415, -0.49878202512991265)
1 14.31 31 89
vel: 14.31 (-0.02616797812147098, -0.4993147673772853)
1 14.37 31 89
vel: 14.37 (-0.01744974835125035, -0.49969541350954216)
1 14.41 31 88
vel: 14.41 (-0.008726203218643036, -0.4999238475782022)
1 14.47 31 88
vel: 14.47 (0.0, -0.5)
1 14.51 31 87
vel: 14.51 (0.008726203218643036, -0.4999238475782022)
1 14.57 31 87
vel: 14.57 (0.01744974835125035, -0.49969541350954216)
1 14.61 31 86
vel: 14.61 (0.02616797812147098, -0.4993147673772853)
1 14.67 31 86
vel: 14.67 (0.03487823687206415, -0.49878202512991265)
1 14.71 31 85
vel: 14.71 (0.04357787137382729, -0.498097349045878)
1 14.77 31 85
vel: 14.77 (0.05226423163382776, -0.49726094768413986)
1 14.81 31 84
vel: 14.81 (0.060934671702572274, -0.4962730758206675)
1 14.87 31 84
vel: 14.87 (0.06958655048003237, -0.4951340343707784)
1 14.90 31 83
vel: 14.90 (0.07821723252011381, -0.4938441702975638)
1 14.97 31 83
vel: 14.97 (0.08682408883346326, -0.49240387650610273)
1 15.00 31 82
vel: 15.00 (0.0954044976882713, -0.49081359172383543)
1 15.07 31 82
vel: 15.07 (0.10395584540887981, -0.48907380036689574)
1 15.10 31 81
vel: 15.10 (0.11247552717193088, -0.4871850323926168)
1 15.17 32 81
vel: 15.17 (0.12096094779983346, -0.4851478631379962)
1 15.20 32 80
vel: 15.20 (0.12940952255126348, -0.482962913144533)
1 15.27 32 80
vel: 15.27 (0.13781867790849844, -0.48063084796915234)
1 15.30 32 80
vel: 15.30 (0.14618585236136994, -0.478152377981516)
1 15.37 32 79
vel: 15.37 (0.1545084971874715, -0.4755282581475768)
1 15.40 32 79
vel: 15.40 (0.16278407722857935, -0.47275928779966137)
1 15.47 32 78
vel: 15.47 (0.17101007166283466, -0.46984631039295266)
1 15.50 33 78
vel: 15.50 (0.17918397477264847, -0.4667902132486006)
1 15.57 33 77
vel: 15.57 (0.18730329670795243, -0.4635919272833888)
1 15.63 33 77
vel: 15.63 (0.19536556424463924, -0.460252426726214)
1 15.67 33 76
vel: 15.67 (0.2033683215379014, -0.4567727288213064)
1 15.73 33 76
vel: 15.73 (0.21130913087034742, -0.45315389351831925)
1 15.77 34 75
vel: 15.77 (0.21918557339454026, -0.4493970231495865)
1 15.80 34 75
vel: 15.80 (0.22699524986977337, -0.4455032620941779)
1 15.87 34 74
vel: 15.87 (0.23473578139294204, -0.44147379642946305)
1 15.93 34 74
vel: 15.93 (0.24240481012316906, -0.4373098535697011)
1 15.97 35 74
vel: 15.97 (0.25, -0.4330127018922241)
1 16.03 35 73
vel: 16.03 (0.257519037455026, -0.42858365035105805)
1 16.07 35 73
vel: 16.07 (0.2649596321166001, -0.42402404807820915)
1 16.13 35 72
vel: 16.13 (0.27231951750751193, -0.419335283972714)
1 16.16 36 72
vel: 16.16 (0.2795964517353724, -0.4145187862775259)
1 16.23 36 72
vel: 16.23 (0.28678821817552347, -0.40957602214449196)
1 16.26 36 71
vel: 16.26 (0.29389262614623846, -0.4045084971874786)
1 16.33 37 71
vel: 16.33 (0.30090751157602114, -0.3993177550236453)
1 16.36 37 70
vel: 16.36 (0.307830737662826, -0.39400537680336356)
1 16.43 37 70
vel: 16.43 (0.3146601955249153, -0.38857298072848323)
1 16.46 37 70
vel: 16.46 (0.32139380484326807, -0.38302222155948584)
1 16.53 38 69
vel: 16.53 (0.3280295144952561, -0.37735479011138295)
1 16.56 38 69
vel: 16.56 (0.33456530317943134, -0.37157241273870056)
1 16.63 38 68
vel: 16.63 (0.34099918003124685, -0.3656768508095922)
1 16.66 39 68
vel: 16.66 (0.34732918522949774, -0.35966990016932243)
1 16.73 39 68
vel: 16.73 (0.3535533905932766, -0.3535533905932766)
1 16.76 40 67
vel: 16.76 (0.35966990016932243, -0.34732918522949774)
1 16.83 40 67
vel: 16.83 (0.3656768508095851, -0.34099918003124685)
1 16.86 40 67
vel: 16.86 (0.37157241273870056, -0.33456530317943134)
1 16.93 41 66
vel: 16.93 (0.37735479011138295, -0.3280295144952561)
1 16.96 41 66
vel: 16.96 (0.38302222155948584, -0.32139380484326807)
1 17.02 41 66
vel: 17.02 (0.38857298072848323, -0.3146601955249224)
1 17.06 42 65
vel: 17.06 (0.39400537680336356, -0.307830737662826)
1 17.12 42 65
vel: 17.12 (0.3993177550236453, -0.30090751157602824)
1 17.16 43 65
vel: 17.16 (0.4045084971874715, -0.29389262614623135)
1 17.22 43 65
vel: 17.22 (0.40957602214449906, -0.28678821817551636)
1 17.26 43 64
vel: 17.26 (0.4145187862775188, -0.2795964517353724)
1 17.32 44 64
vel: 17.32 (0.419335283972714, -0.27231951750751193)
1 17.36 44 64
vel: 17.36 (0.42402404807821625, -0.2649596321166001)
1 17.42 45 63
vel: 17.42 (0.42858365035105805, -0.257519037455026)
1 17.46 45 63
vel: 17.46 (0.43301270189221697, -0.25)
1 17.52 46 63
vel: 17.52 (0.4373098535697011, -0.24240481012316906)
1 17.56 46 63
vel: 17.56 (0.44147379642946305, -0.23473578139294204)
1 17.62 46 63
vel: 17.62 (0.445503262094185, -0.22699524986977337)
1 17.66 47 62
vel: 17.66 (0.4493970231495865, -0.21918557339454026)
1 17.72 47 62
vel: 17.72 (0.45315389351832636, -0.21130913087034742)
1 17.75 48 62
vel: 17.75 (0.45677272882129927, -0.2033683215379014)
1 17.82 48 62
vel: 17.82 (0.46025242672622113, -0.19536556424463924)
1 17.85 49 61
